"","X","nuts_2","nuts_1","country","trade_center","trade_center_1","trade_center_2","tc_ratio","tc_ratio_1","tc_ratio_2","tc_abs","tc_abs_1","tc_abs_2","capital","education","catholics","latitude","longitude","mountain","border_region","university_1500","coast_region","printingpress_pre1500","hanse","imperial","agri","altitude","dist_border","dist_coast","dist_trade","tc_dist","east_germany","bishop","mining","eqi100","residence","trade_years","Region","AREA","Year","AGSH","GDP","GDP_11","INDSH","POP","SERSH"
"FR22.1900",56,"FR22","FR2","France",0,0,0,0,0,0,0,0,0,0,21.6,62.3699989318848,49.6116358439128,2.77525242169698,0,1,0,1,1,0,0,1.97099999940263,94.9666646321614,0.821631888548533,1.10058285792668,0.818377176920574,1.81837716677153,0,0,0,71.8499984741211,0,0,"Picardie",19399,"1900",0.368,4466,6345,0.408,1480,0.225
"FR23.1900",57,"FR23","FR2","France",1,0,0,0.5,0,0,1,0,0,0,19.3,62.3699989318848,49.3686084747314,0.988852798938751,0,1,0,1,1,0,0,1.97300001071151,147.200004577637,0.520467966794968,0.382295534014702,0,1.29906894980519,0,1,0,64.2900009155273,0,6,"Haute-Normandie",12318,"1900",0.309,4481,6366,0.431,1184,0.261
"FR24.1900",58,"FR24","FR2","France",1,0,0,0.333333333333333,0,0,2,0,0,0,24,62.3699989318848,47.5135040283203,1.63028905789057,0,0,1,0,1,0,0,1.52250000382628,131.600002288819,2.29663397868474,2.18811500072479,0,1.61712393428543,0,1,0,74.9499969482422,0,6,"Centre",39151,"1900",0.565,4961,7048,0.251,1895,0.185
"FR25.1900",59,"FR25","FR2","France",0,0,0,0,0,0,0,0,0,0,25.2,62.3699989318848,48.919620513916,-0.546847637742759,0,1,1,1,1,0,0,1.84099998893592,148.433334350586,0.397416656215986,0.354549090067546,1.2559380531311,2.25593805734854,0,0,0,72.5299987792969,0,0,"Basse-Normandie",17589,"1900",0.56,3229,4587,0.24,1236,0.198
"FR26.1900",60,"FR26","FR2","France",1,0,0,0.25,0,0,1,0,0,0,23.9,62.3699989318848,47.274079322815,4.11716669797897,0,0,0,0,1,0,0,1.85650000008375,324.449989318848,1.96541604399681,3.34175896644592,0,1.66471389242411,0,1,0,72.1500015258789,0,6,"Bourgogne",31582,"1900",0.563,4127,5863,0.255,1629,0.182
"FR30.1900",61,"FR30","FR3","France",0,0,0,0,0,0,0,0,0,0,24.6,62.3699989318848,50.5211906433105,2.7604867219925,0,1,0,1,1,0,1,1.63499999951762,98.1499977111815,0.263838499784469,0.622115731239319,0.878638386726381,1.87863833350742,0,0,1,73.4400024414062,0,0,"Nord - Pas-de-Calais",12414,"1900",0.225,8869,12600,0.556,2800,0.22
"FR41.1900",62,"FR41","FR4","France",1,1,0,0.25,0.25,0,1,1,0,0,21.7,62.3699989318848,48.7883911132812,6.10504007339478,0,1,0,0,1,0,1,1.85600001039503,303.67499923706,0.523006498813629,2.86865431070328,0,1.72849900122941,0,0,0,66.9000015258789,0,7,"Lorraine",23547,"1900",0.336,5303,7534,0.416,2337,0.249
"FR42.1900",63,"FR42","FR4","France",1,1,0,0.5,0.5,0,1,1,0,0,29.4,62.3699989318848,48.2326450347901,7.4090530872345,0,1,0,0,1,0,1,1.66100001063751,214.050003051758,0.261883400380611,3.88456118106842,0,1.40758088910097,0,0,0,71.9300003051758,0,8,"Alsace",8280,"1900",0.387,3201,4548,0.366,1141,0.247
"FR43.1900",64,"FR43","FR4","France",0,0,0,0,0,0,0,0,0,0,23.4,62.3699989318848,47.2793645858765,6.28874564170838,0,1,1,0,1,0,1,1.81275000391148,491.400001525879,0.372963663190603,3.59366703033447,1.44263368844986,2.44263366997276,0,1,0,72.3600006103516,0,0,"Franche-Comté",16202,"1900",0.54,2241,3184,0.291,925,0.169
"FR51.1900",65,"FR51","FR5","France",0,0,0,0,0,0,0,0,0,0,26.5,62.3699989318848,47.5180526733398,-0.811498737335206,0,0,1,1,1,0,0,1.72080000077872,79.3400001525879,0.803288084268569,0.772936952114106,1.11561772823334,2.11561770807567,0,0,0,69.3600006103516,0,0,"Pays de la Loire",32082,"1900",0.597,5855,8318,0.236,2346,0.167
"FR52.1900",66,"FR52","FR5","France",1,0,1,0.25,0,0.25,1,0,1,0,28.1,62.3699989318848,48.1753330230713,-2.85408344864845,0,1,0,1,1,0,0,1.54800002283881,106.650001525879,0.222218414768577,0.178204928990454,0,2.22244750206411,0,0,0,84.3000030517578,0,6,"Bretagne",27209,"1900",0.654,4540,6449,0.181,2549,0.164
