"","nuts_2","nuts_1","country","trade_center","capital","education","catholics","latitude","longitude","mountain","border_region","university_1500","coast_region","printingpress_pre1500","hanse","imperial","altitude","dist_border","dist_coast","east_germany","bishop","mining","eqi100","residence","trade_year"
"95","NL13","NL1","Netherlands",0,0,25.2,30.4867000579834,52.8500022888183,6.6103466351827,0,1,0,0,0,0,0,12.4666665395101,0.292066077391307,0.537355790535609,0,0,0,97.6100006103516,0,0
"96","NL21","NL2","Netherlands",1,0,28.4,30.4867000579834,52.4306424458822,6.40254815419515,0,1,0,0,1,1,0,8.26666665077209,0.345824872454007,0.945421040058137,0,0,0,87.9000015258789,0,7
"97","NL22","NL2","Netherlands",0,0,31.8,30.4867000579834,52.0100593566895,5.85492789745331,0,1,0,0,1,1,0,16.2499996423721,0.300113797187805,1.14105631411076,0,0,0,87.9000015258789,0,0
"98","NL23","NL2","Netherlands",0,0,28.1,30.4867000579834,52.5467948913574,5.53886318206787,0,0,0,0,0,0,0,-4.69999980926514,0.563926160335541,0.56324166059494,0,0,0,87.9000015258789,0,0
"99","NL31","NL3","Netherlands",1,0,42.9,30.4867000579834,52.1185150146484,5.20970010757446,0,0,0,0,1,0,0,13.1000003814697,0.654065072536469,0.722610414028168,0,1,0,89.9599990844727,0,6
"100","NL32","NL3","Netherlands",1,1,39.7,30.4867000579834,52.4982670375279,4.84458405630929,0,0,0,1,1,0,0,0.700000030653817,0.227332333368914,0.222881772688457,0,0,0,89.9599990844727,0,6
"101","NL33","NL3","Netherlands",1,0,33.3,30.4867000579834,52.0063692728678,4.50216102600097,0,1,0,1,1,0,0,0.233333269755045,0.197504966209332,0.234368157883485,0,0,0,89.9599990844727,0,6
"102","NL34","NL3","Netherlands",0,0,25.4,30.4867000579834,51.4020881652832,3.7931078672409,0,1,0,1,1,0,0,-0.25,0.0630036499351263,0.0566021166741848,0,0,0,89.9599990844727,0,0
"103","NL41","NL4","Netherlands",0,0,30.4,30.4867000579834,51.564266204834,5.15128910541535,0,1,0,1,1,0,0,16.4500000476837,0.178799491375685,0.847156152129173,0,0,0,85.6900024414062,0,0
"104","NL42","NL4","Netherlands",1,0,27.1,30.4867000579834,51.2032814025879,5.92319679260254,0,1,0,0,0,1,0,47.9666678110759,0.0809902660548687,1.51891855398814,0,0,0,85.6900024414062,0,6
